SERIE,FECHA,HI,DGA,ACE,ARR,AIS,NUC,OLTC,BUS
100138,2017-07-10,1.0,1.0,1.0,,1.0,,,
100138,2017-10-18,1.0,1.0,1.0,,1.0,,,
100138,2018-08-07,1.0,1.0,1.0,,1.0,,,
100138,2019-04-26,1.0,1.0,1.0,,1.0,,,
100138,2019-05-29,1.0,1.0,1.0,,1.0,,,
100138,2020-07-05,1.0,1.0,1.0,,1.0,,,
100138,2021-09-04,1.0,1.0,1.0,,1.0,,,
100138,2022-04-29,1.1587301587301588,1.0,1.9523809523809523,,1.0,,,
100138,2023-12-17,1.0,1.0,1.0,,1.0,,,
100138,2025-02-13,1.0,1.0,1.0,,1.0,,,
100138,2025-05-02,1.0,1.0,1.0,,1.0,,,
123157T,2022-08-31,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2022-11-10,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2022-11-22,1.130030959752322,1.4,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2022-12-26,1.0773993808049536,1.2,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2023-06-27,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2023-09-12,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2024-07-12,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2024-08-18,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
123157T,2025-02-04,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
123157T,2025-06-23,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
123158T,1984-02-21,1.2105263157894737,1.0,1.0,1.0,1.0,1.0,,5.0
123158T,1986-10-15,1.2105263157894737,1.0,1.0,1.0,1.0,1.0,,5.0
123158T,1991-10-10,1.2105263157894737,1.0,1.0,1.0,1.0,1.0,,5.0
123158T,1995-10-05,1.330827067669173,1.0,2.142857142857143,1.0,1.0,1.0,,5.0
123158T,1996-07-09,1.5167464114832536,1.0,3.909090909090909,1.0,1.0,1.0,,5.0
123158T,1997-07-09,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,1998-08-06,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,1999-08-12,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,2000-07-25,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,2001-01-11,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,2001-06-13,1.3636363636363638,1.0,2.4545454545454546,1.0,1.0,1.0,,5.0
123158T,2001-07-22,1.4912280701754386,1.0,3.6666666666666665,1.0,1.0,1.0,,5.0
123158T,2002-02-04,1.4593301435406698,1.0,3.3636363636363638,1.0,1.0,1.0,,5.0
