SERIE;FECHA;HI;DGA;ACE;ARR;AIS;NUC;OLTC;BUS
100138;10/07/2017;1;;1;;;;;
100138;18/10/2017;1;;1;;;;;
100138;7/08/2018;1;;1;;;;;
100138;26/04/2019;1;1;1;;;;;
100138;29/05/2019;1;;;;1;;;
100138;5/07/2020;1;1;;;;;;
100138;4/09/2021;1;1;1;;;;;
100138;29/04/2022;1.272108844;1;1.952380952;;;;;
100138;17/12/2023;1;1;1;;;;;
100138;13/02/2025;1;1;1;;;;;
100138;2/05/2025;;;;;;;;
123157T;31/08/2022;1;;;;1;;;
123157T;10/11/2022;1;1;;;;;;
123157T;22/11/2022;1.4;1.4;;;;;;
123157T;26/12/2022;1.2;1.2;;;;;;
123157T;27/06/2023;1;1;;;;;;
123157T;12/09/2023;1;;1;;;;;
123157T;12/07/2024;1.039215686;;;1;1;1;;1.470588235
123157T;18/08/2024;1;1;;;;;;
123157T;4/02/2025;1.081632653;1;1.285714286;;;;;
123157T;23/06/2025;;;;;;;;
123158T;21/02/1984;1.333333333;;;1;1;1;;5
123158T;15/10/1986;1;;1;;;;;
123158T;10/10/1991;1;;1;;;;;
123158T;5/10/1995;2.142857143;;2.142857143;;;;;
123158T;9/07/1996;3.909090909;;3.909090909;;;;;
123158T;9/07/1997;2.454545455;;2.454545455;;;;;
123158T;6/08/1998;2.454545455;;2.454545455;;;;;
123158T;12/08/1999;2.454545455;;2.454545455;;;;;
123158T;25/07/2000;2.454545455;;2.454545455;;;;;
123158T;11/01/2001;2.454545455;;2.454545455;;;;;
123158T;13/06/2001;2.454545455;;2.454545455;;;;;
123158T;22/07/2001;3.666666667;;3.666666667;;;;;
123158T;4/02/2002;3.363636364;;3.363636364;;;;;
123158T;24/02/2003;3.666666667;;3.666666667;;;;;
123158T;10/02/2004;4;;4;;;;;
123158T;13/05/2005;;;;;;;;
123158T;24/11/2006;2;;2;;;;;
123158T;22/07/2008;1.833333333;;1.833333333;;;;;
123158T;23/10/2008;3;;3;;;;;
123158T;19/10/2009;2;;2;;;;;
123158T;20/05/2010;2;;2;;;;;
123158T;11/07/2010;1;;1;;;;;
123158T;21/03/2011;1;;1;;;;;
123158T;26/01/2012;1;;1;;;;;
123158T;11/03/2013;1;;1;;;;;
123158T;17/12/2013;1;;1;;;;;
123158T;25/04/2014;1;;1;;;;;
123158T;10/12/2014;1;;1;;;;;
123158T;10/06/2015;1;;1;;;;;
123158T;12/06/2015;1;;1;;;;;
123158T;11/01/2016;1.352941176;;1.352941176;;;;;
123158T;19/04/2016;2.176470588;;2.176470588;;;;;
123158T;3/07/2017;1.588235294;;1.588235294;;;;;
123158T;13/08/2018;1;;1;;;;;
123158T;16/04/2019;1;;1;;;;;
123158T;12/06/2020;1;;1;;;;;
123158T;13/12/2021;2.907407407;;;5;2.2;1;;1.888888889
123158T;21/05/2022;3;;;5;2.2;1;;
123158T;24/05/2022;1;1;;;;;;
123158T;30/05/2022;1;1;;;;;;
123158T;27/06/2022;1;1;;;;;;
123158T;18/07/2023;1;1;1;;1;;;
123158T;9/02/2025;1;1;1;;;;;
123158T;2/09/2025;;;;;;;;
123159T;21/03/1992;1;;1;;;;;
123159T;8/05/1995;1.571428571;;1.571428571;;;;;
123159T;7/05/1996;1.5;;1.5;;;;;
123159T;14/04/1997;2.090909091;;2.090909091;;;;;
123159T;13/04/1998;2.454545455;;2.454545455;;;;;
123159T;6/04/1999;2.454545455;;2.454545455;;;;;
123159T;11/04/2000;4.272727273;;4.272727273;;;;;
123159T;19/04/2001;2.454545455;;2.454545455;;;;;
123159T;23/09/2002;2.454545455;;2.454545455;;;;;
123159T;6/11/2003;1.923076923;;1.923076923;;;;;
123159T;10/02/2004;2.333333333;;2.333333333;;;;;
123159T;13/05/2005;;;;;;;;
123159T;24/11/2006;2;;2;;;;;
123159T;22/07/2008;1.352941176;;1.352941176;;;;;
123159T;23/10/2008;3;;3;;;;;
123159T;19/10/2009;2.5;;2.5;;;;;
123159T;20/05/2010;2.333333333;;2.333333333;;;;;
