SERIE;FECHA DE MUESTRA;HI;DGA;ACE
59571;18/09/2025;1.642857143;1.9;1
59572;18/09/2025;1.944805195;2.25;1.181818182
59573;18/09/2025;1.321428571;1.45;1
100138;18/09/2025;1;1;1
146916;18/09/2025;1.214285714;1.3;1
146917;18/09/2025;1.214285714;1.3;1
146918;18/09/2025;1.214285714;1.3;1
147400;18/09/2025;1.214285714;1.3;1
185466;18/09/2025;1.081632653;1;1.285714286
185519;18/09/2025;1.571428571;1.8;1
185634;18/09/2025;1.642857143;1.9;1
185635;18/09/2025;1.642857143;1.9;1
185636;18/09/2025;1.642857143;1.9;1
185765;18/09/2025;1.214285714;1.3;1
185766;18/09/2025;1.214285714;1.3;1
185767;18/09/2025;1.214285714;1.3;1
338118;18/09/2025;3.7;3.7;
359110;18/09/2025;1;1;1
359111;18/09/2025;1.214285714;1.3;1
364072;18/09/2025;1;1;1
364073;18/09/2025;1;1;1
364074;18/09/2025;1.214285714;1.3;1
364075;18/09/2025;1.214285714;1.3;1
364076;18/09/2025;3;3;
364077;18/09/2025;1.214285714;1.3;1
364078;18/09/2025;1.214285714;1.3;1
551873;18/09/2025;1;1;1
551874;18/09/2025;1;1;1
551875;18/09/2025;1;1;1
123157T;18/09/2025;1.081632653;1;1.285714286
123158T;18/09/2025;1;1;1
123159T;18/09/2025;1;1;1
123160T;18/09/2025;1;1;1
123161T;18/09/2025;1;1;1
132006T1;18/09/2025;1;1;1
146659T1;18/09/2025;1.214285714;1.3;1
146659T2;18/09/2025;1;1;1
146659T3;18/09/2025;1.214285714;1.3;1
146660T1;18/09/2025;1.214285714;1.3;1
146660T2;18/09/2025;1;1;1
146660T3;18/09/2025;1.025974026;1;1.090909091
147926T1;18/09/2025;1.214285714;1.3;1
149292T;18/09/2025;1.214285714;1.3;1
150700A/01;18/09/2025;1.214285714;1.3;1
150700A/02;18/09/2025;1.214285714;1.3;1
150700B/01;18/09/2025;1.214285714;1.3;1
160967T;18/09/2025;1;1;1
161159T2;18/09/2025;1;1;1
161566T;18/09/2025;1.207792208;1;1.727272727
161642T;18/09/2025;1.12987013;1;1.454545455
162031 T1;18/09/2025;1.3;;1.3
16625S;18/09/2025;1.292207792;1.3;1.272727273
16626S;18/09/2025;1.214285714;1.3;1
16627S;18/09/2025;1.474025974;1.3;1.909090909
16628S;18/09/2025;1;1;
16629S;18/09/2025;1.214285714;1.3;1
16630S;18/09/2025;1.292207792;1.3;1.272727273
16631S;18/09/2025;1.474025974;1.3;1.909090909
1ZBR60816;18/09/2025;1.214285714;1.3;1
1ZBR60817;18/09/2025;1.214285714;1.3;1
1ZBR60818;18/09/2025;1.214285714;1.3;1
230531-01;18/09/2025;3.05;3.05;
30N14081601;18/09/2025;1.214285714;1.3;1
30N14081602;18/09/2025;1.214285714;1.3;1
30N14081603;18/09/2025;1.214285714;1.3;1
5337PA196-02;18/09/2025;1.214285714;1.3;1
5337PA196-03;18/09/2025;1.214285714;1.3;1
5337PA196-04;18/09/2025;1.214285714;1.3;1
5337PA196-05;18/09/2025;1.214285714;1.3;1
5337PA196-06;18/09/2025;1;;1
6620 500;18/09/2025;1.214285714;1.3;1
6620 501;18/09/2025;1;1;1
6620 502;18/09/2025;1;;1
6620 503;18/09/2025;1;1;1
750005-01;18/09/2025;1.642857143;1.9;1
750006-01;18/09/2025;1;;1
750019-01;18/09/2025;1.321428571;1.45;1
760026-01;18/09/2025;1.428571429;1.6;1
760045-01;18/09/2025;1.214285714;1.3;1
760046-01;18/09/2025;1.214285714;1.3;1
760047-01;18/09/2025;1.214285714;1.3;1
770003-01;18/09/2025;1.285714286;1.4;1
770021-01;18/09/2025;1.214285714;1.3;1
770023-01;18/09/2025;1.214285714;1.3;1
770027-01;18/09/2025;1.214285714;1.3;1
770028-01;18/09/2025;1.295918367;1.3;1.285714286
B607398;18/09/2025;1;1;1
B608156;18/09/2025;1.103896104;1;1.363636364
B611544;18/09/2025;1;;1
B611545;18/09/2025;1;1;1
B615152;18/09/2025;1;1;1
B615153;18/09/2025;1;1;1
B93033;18/09/2025;1;1;1
D518290;18/09/2025;1;;1
D518291;18/09/2025;1.214285714;1.3;1
D518292;18/09/2025;1.214285714;1.3;1
D518293;18/09/2025;1.214285714;1.3;1
D518294;18/09/2025;1;;1
D518295;18/09/2025;1;;1
HST15082-1-1;18/09/2025;1.207792208;1;1.727272727
HST15082-1-2;18/09/2025;1.285714286;1;2
HST15082-1-3;18/09/2025;1.207792208;1;1.727272727
L-10228;18/09/2025;1.75;2.05;1
L-10802;18/09/2025;1.3;;1.3
L-10803;18/09/2025;1;;1
L-30108;18/09/2025;1;1;1
L-30155;18/09/2025;1;1;1
L-30157;18/09/2025;1;1;1
L-30158;18/09/2025;1.272108844;1;1.952380952
L-30229;18/09/2025;1.986394558;2;1.952380952
L-30230;18/09/2025;1;1;1
L-30249;18/09/2025;1;;1
L-30300;18/09/2025;1.5;1.5;
L-30306;18/09/2025;1;;1
L-30307;18/09/2025;1;;1
L-30330;18/09/2025;3.19047619;;3.19047619
L-30406;18/09/2025;1.233766234;1;1.818181818
L-30436;18/09/2025;1.25974026;1;1.909090909
L-30442;18/09/2025;1.103896104;1;1.363636364
L-30443;18/09/2025;1.081632653;1;1.285714286
L-30477;18/09/2025;1;1;1
L-30493;18/09/2025;1;1;1
L-30506;18/09/2025;1;1;1
L-30507;18/09/2025;1;1;1
LP-000471;18/09/2025;1.857142857;;1.857142857
LP-000472;18/09/2025;1;;1
LP-000473;18/09/2025;1.24025974;1.3;1.090909091
LP-000474;18/09/2025;1.266233766;1.3;1.181818182
LP-000475;18/09/2025;1.266233766;1.3;1.181818182
LP-000476;18/09/2025;1.5;1.3;2
LP-000584;18/09/2025;1.103896104;1;1.363636364
LP-000598;18/09/2025;1.103896104;1;1.363636364
P185848;18/09/2025;1;1;1
P186248;18/09/2025;1.214285714;1.3;1
P186249;18/09/2025;1.214285714;1.3;1
P186250;18/09/2025;1.214285714;1.3;1
P186254;18/09/2025;1;;1
P186255;18/09/2025;1.214285714;1.3;1
P186256;18/09/2025;1.214285714;1.3;1
P186257;18/09/2025;1.214285714;1.3;1
PA 277 - 01;18/09/2025;1.3;1.3;
PA 277 - 02;18/09/2025;1;1;
PA 277 - 03;18/09/2025;1;;1
PA196-01-04;18/09/2025;1;;1
PA277 -01;18/09/2025;1;;1
PA277- 02;18/09/2025;1;;1
PT9003-01;18/09/2025;1.12987013;1;1.454545455
V101038;18/09/2025;1.214285714;1.3;1
V101039;18/09/2025;1.214285714;1.3;1
V101040;18/09/2025;1.214285714;1.3;1
V101041;18/09/2025;1.214285714;1.3;1
V101042;18/09/2025;1.214285714;1.3;1
V101043;18/09/2025;1.214285714;1.3;1
V101044;18/09/2025;1;;1
V147101;18/09/2025;1;1;1
V147102;18/09/2025;1;1;1
V147103;18/09/2025;1;1;1
V147104;18/09/2025;1.555555556;;1.555555556
V147105;18/09/2025;1.214285714;1.3;1
V147106;18/09/2025;1;1;1
V147107;18/09/2025;1.214285714;1.3;1
V163201;18/09/2025;1;1;1
V180401;18/09/2025;1;1;1
V180402;18/09/2025;1;1;1
V180403;18/09/2025;1;1;1
59571;17/09/2025;1.642857143;1.9;1
59572;17/09/2025;1.944805195;2.25;1.181818182
59573;17/09/2025;1.321428571;1.45;1
100138;17/09/2025;1;1;1
146916;17/09/2025;1.214285714;1.3;1
146917;17/09/2025;1.214285714;1.3;1
146918;17/09/2025;1.214285714;1.3;1
147400;17/09/2025;1.214285714;1.3;1
185466;17/09/2025;1.081632653;1;1.285714286
185519;17/09/2025;1.571428571;1.8;1
185634;17/09/2025;1.642857143;1.9;1
185635;17/09/2025;1.642857143;1.9;1
185636;17/09/2025;1.642857143;1.9;1
185765;17/09/2025;1.214285714;1.3;1
185766;17/09/2025;1.214285714;1.3;1
185767;17/09/2025;1.214285714;1.3;1
338118;17/09/2025;3.7;3.7;
359110;17/09/2025;1;1;1
359111;17/09/2025;1.214285714;1.3;1
364072;17/09/2025;1;1;1
364073;17/09/2025;1;1;1
364074;17/09/2025;1.214285714;1.3;1
364075;17/09/2025;1.214285714;1.3;1
364076;17/09/2025;3;3;
364077;17/09/2025;1.214285714;1.3;1
364078;17/09/2025;1.214285714;1.3;1
551873;17/09/2025;1;1;1
551874;17/09/2025;1;1;1
551875;17/09/2025;1;1;1
123157T;17/09/2025;1.081632653;1;1.285714286
123158T;17/09/2025;1;1;1
123159T;17/09/2025;1;1;1
123160T;17/09/2025;1;1;1
123161T;17/09/2025;1;1;1
132006T1;17/09/2025;1;1;1
146659T1;17/09/2025;1.214285714;1.3;1
146659T2;17/09/2025;1;1;1
146659T3;17/09/2025;1.214285714;1.3;1
146660T1;17/09/2025;1.214285714;1.3;1
146660T2;17/09/2025;1;1;1
146660T3;17/09/2025;1.025974026;1;1.090909091
147926T1;17/09/2025;1.214285714;1.3;1
149292T;17/09/2025;1.214285714;1.3;1
150700A/01;17/09/2025;1.214285714;1.3;1
150700A/02;17/09/2025;1.214285714;1.3;1
150700B/01;17/09/2025;1.214285714;1.3;1
160967T;17/09/2025;1;1;1
161159T2;17/09/2025;1;1;1
161566T;17/09/2025;1.207792208;1;1.727272727
161642T;17/09/2025;1.12987013;1;1.454545455
162031 T1;17/09/2025;1.3;;1.3
16625S;17/09/2025;1.292207792;1.3;1.272727273
16626S;17/09/2025;1.214285714;1.3;1
16627S;17/09/2025;1.474025974;1.3;1.909090909
16628S;17/09/2025;1;1;
16629S;17/09/2025;1.214285714;1.3;1
16630S;17/09/2025;1.292207792;1.3;1.272727273
16631S;17/09/2025;1.474025974;1.3;1.909090909
1ZBR60816;17/09/2025;1.214285714;1.3;1
1ZBR60817;17/09/2025;1.214285714;1.3;1
1ZBR60818;17/09/2025;1.214285714;1.3;1
230531-01;17/09/2025;3.05;3.05;
30N14081601;17/09/2025;1.214285714;1.3;1
30N14081602;17/09/2025;1.214285714;1.3;1
30N14081603;17/09/2025;1.214285714;1.3;1
5337PA196-02;17/09/2025;1.214285714;1.3;1
5337PA196-03;17/09/2025;1.214285714;1.3;1
