Minuto,Factor_Carga,Temp_Ambiente,Temp_Aceite,Temp_Punto_Caliente,Vida_min,Vida_dias
1,0.10876,18.34,82.0,108.0,0.0,0.0
1,0.10876,18.34,75.75052474022917,73.13619524014268,0.5090776175009096,0.00035352612326452056
1,0.10876,18.34,70.25098651163084,58.95737782410215,0.6080260940574582,0.0004222403430954571
1,0.10876,18.34,65.41139287046431,52.373350916784304,0.6542724495756473,0.0004543558677608662
1,0.10876,18.34,61.15255046623776,48.68416881648669,0.6844709308045122,0.0004753270352809112
1,0.10876,18.34,57.4047691505184,46.18938913184695,0.7071078775217381,0.0004910471371678737
1,0.10876,18.34,54.10672159268536,44.262447496371905,0.725227117482619,0.0005036299426962632
1,0.10876,18.34,51.204439741792285,42.662619031085256,0.740288814854082,0.0005140894547597792
1,0.10876,18.34,48.65043171300638,41.28901290089422,0.7531404328894757,0.0005230141895065804
1,0.10876,18.34,46.40290464767478,40.09246912034798,0.7643328842184235,0.000530786725151683
1,0.10876,18.34,44.42508083018298,39.04387831276081,0.7742484081438743,0.0005376725056554682
1,0.10876,18.34,42.68459587079019,38.12267830183178,0.7831629191924945,0.0005438631383281212
1,0.10876,18.34,41.15296910652454,37.31257939926698,0.791281002730603,0.0005495006963406966
1,0.10876,18.34,39.80513755397076,36.59989133181451,0.7987574757158549,0.0005546926914693437
1,0.10876,18.34,38.61904578772344,35.972796892029386,0.8057114710614135,0.0005595218549037593
2,0.1082,18.271,37.566248219691474,35.40061047803078,0.81222065958479,0.0005640421247116597
2,0.1082,18.271,36.63978635982334,34.90363036880711,0.8183666592183151,0.0005683101800127189
2,0.1082,18.271,35.824499923139385,34.46862499236711,0.8242114313697794,0.0005723690495623468
2,0.1082,18.271,35.107047858857506,34.086654946698786,0.8298038994252931,0.0005762527079342313
2,0.1082,18.271,34.47569004228945,33.75081940851025,0.8351835501962507,0.0005799885765251741
2,0.1082,18.271,33.92009516370956,33.4553905999042,0.8403826951771367,0.0005835990938730117
